,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,E1,E2_day,E2_night,G1,Date
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166204,84394,299510,8802,12/07/2022
1,1.0,1.0,1.0,1.0,1.0,1.0,,166204,85263,299510,8786,2022-07-12 17:12:03.388876
2,2.0,2.0,2.0,2.0,2.0,,,166204,85263,299510,8786,2022-07-12 17:13:34.418540
3,3.0,3.0,3.0,3.0,,,,166204,85263,299510,8786,2022-07-12 17:13:50.694658
4,4.0,4.0,4.0,,,,,166204,85263,299510,8786,2022-07-12 17:14:01.136991
5,5.0,5.0,,,,,,166204,85263,299510,8786,2022-07-12 17:14:26.271564
6,6.0,,,,,,,166204,85263,299510,8786,2022-07-12 17:14:49.403255
7,,,,,,,,166204,85263,299510,8786,2022-07-12 17:15:25.907857
